,▼背景,企業とのマッチング度を定量的に自己採点できないだろうか？,,,,,,,,,,,,,,,,,,,,,,,,
,doda,△,,86,キューブシステム,TRUE,3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,4 ,3 ,2 ,2 ,,,,"エンジニアが
営業を兼任する",株式：上場,,,
,doda,✕,-,86,ライトサーブ,TRUE,4 ,3 ,3 ,3 ,2 ,4 ,2 ,3 ,3 ,2 ,1 ,2 ,,,,"社長が教育は良いが、
ずーとフォローするは違う",,,,
,wantedly,,,0,yep,TRUE,,,,,,,,,,,,,,,,at東京,,,,
,wantedly,○,,0,ユニットメディア,TRUE,,,,,,,,,,,,,,,,受託、請負が多い,,,,
,wantedly,,,0,SocialDog,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,"SEモバイル,アンド
,オンライン",TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,△,,0,スタイル・フリー,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,イマジテック,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,ジュニオ,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,○,,0,"シアトル
コンサルティング",TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,✕,-,2,PRUM,TRUE,,,,,1 ,,,,,,,,,,,東京,,,,
,doda,✕,-,70,フェイスポート,TRUE,3 ,2 ,3 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,,,,派遣,,,,
,doda,✕,-,90,ALH,TRUE,3 ,4 ,2 ,4 ,2 ,3 ,3 ,2 ,3 ,4 ,2 ,2 ,,,,データ解析はpythonのような,建築系,未上場,6ヶ月の試用期間あり,フレックスタイム制
,doda,✕,-,78,テクノプロ,TRUE,3 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,2 ,2.9,58.0%,,神戸出勤,,,,
,doda,△,,80,ワム・システム・デザイン,TRUE,3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,2 ,1 ,,,,テストユーザのイメージ,派遣だよね,,,
,doda,○→残念,1：✕,62,MOTA,TRUE,3 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,,,,派遣だよね,,業務に求める経験/スキル/適正など総合的に判断し、同社の求める応募要件に合致しなかったため,,
,doda,✕,-,86,"ＤＳＢ
情報システム",TRUE,4 ,3 ,2 ,2 ,3 ,2 ,2 ,4 ,4 ,3 ,2 ,2 ,,,,試用期間3ヶ月,,,,
,doda,✕,-,97,Ｋ－ＢＩＴ,TRUE,3 ,4 ,3 ,3 ,2 ,4 ,2 ,3 ,4 ,3 ,3 ,3 ,,,,兵庫県,,,,
,doda,✕,-,80,ＫＹＯＳＯ,TRUE,3 ,3 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,,,,外勤　派遣？,,,,
,doda,△,,76,WEDGE,TRUE,2 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,,,,外勤,,,,
,doda,△,,74,アクティシステム,TRUE,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,,,,外勤　派遣？,,,,
,doda,○→残念,1：✕,93,亀田医療情報,TRUE,3 ,3 ,4 ,4 ,4 ,2 ,2 ,3 ,3 ,2 ,2 ,4 ,,,,医療機関の人が使用,,総合的に判断し、同社の求める応募要件に合致しなかったため,,
,doda,○→残念,1：✕,99,プロジェクト・モード,TRUE,4 ,3 ,4 ,4 ,5 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,,,,フルリモートで自宅,,総合的に判断し、同社の求める応募要件に合致しなかったため,,
,doda,✕,-,71,アソウ・アルファ,TRUE,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,,,,派遣,,,,
,doda,✕,-,0,アイレックス,TRUE,,,,,,,,,,,,,,,,派遣,,,,
,doda,○→残念,1：✕,93,コニカミノルタ,TRUE,3 ,4 ,3 ,3 ,2 ,4 ,2 ,2 ,4 ,2 ,3 ,4 ,,,,たぶん、未経験SEは無理かな、あと分析型らしいし,,業務に求める経験/スキル/適正など総合的に判断し、同社の求める応募要件に合致しなかったため,,
,doda,✕,-,67,"日立
ソリューションズ・
クリエイト",TRUE,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,,,,今でも年功序列が大事との考えが多そう,仕事が忙しく、有給が取れないみたい,,,
,doda,✕,-,81,シグネット,TRUE,2 ,2 ,3 ,3 ,2 ,4 ,2 ,3 ,4 ,2 ,2 ,2 ,,,,食品関係のラベル印刷代行,試用期間3ヶ月,,,
,doda,△,,87,サンエス,TRUE,3 ,2 ,3 ,2 ,2 ,4 ,4 ,3 ,4 ,2 ,3 ,2 ,,,,試用期間3ヶ月,,,,
,doda,✕,-,73,ボールド,TRUE,3 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,,,,試用期間3ヶ月,,,,
,doda,✕,-,74,トライトキャリア,TRUE,3 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,,,,派遣,,,,
,doda,△,,92,"日本エレクトロニクス
工業",TRUE,4 ,2 ,3 ,4 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,,,,尼崎,試用期間3ヶ月,,,
,doda,✕,-,71,グローウィズ,TRUE,2 ,1 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,,,,給料がすごく低い,,,,
,doda,✕,-,71,夢テクノロジー,TRUE,3 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,,,,派遣,,,,
,doda,✕,-,65,アンドシステム,TRUE,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,,,,派遣,,,,
,doda,✕,-,69,グラント ,TRUE,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,2 ,,,,何をやっているのか、見えない,,,,
,doda,△,,77,ヒップ,TRUE,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,,,,派遣,体制は良さそうだけど、メイテックと同じ感じがする,,,
,en,✕,,0,ワールドインテック,TRUE,,,,,,,,,,,,,,,,,,,,
,en,○→残念,１：✕,0,計測技研,TRUE,,,,,,,,,,,,,,,,,,,,
,doda,,,0,ウイルテック,TRUE,,,,,,,,,,,,,,,,派遣、請負型自社開発,,,,
,doda,✕,-,0,"トップ
エンジニアリング",TRUE,,,,,,,,,,,,,,,,派遣,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",△→,１：✕,93,エクストリンク,TRUE,3 ,3 ,3 ,4 ,3 ,2 ,4 ,3 ,4 ,3 ,2 ,2 ,,,,試用期間2ヶ月,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",△,"応募〆
→　3/25",91,"パナソニック
インダストリー",TRUE,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,4 ,3 ,3 ,2 ,,,,"北海道千歳工場での説明選考会
配属先は近くて門真",,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",✕,-,0,アンダーデザイン,TRUE,,,,,,,,,,,,,,,,夜勤あり,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",✕,-,79,エイバンサット,TRUE,3 ,2 ,3 ,3 ,1 ,2 ,2 ,3 ,4 ,3 ,2 ,2 ,,,,なんか社内人数がすくなそうだし、怪しいな,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",✕,-,78,Ｍｏｄｉｓ,TRUE,3 ,3 ,3 ,3 ,1 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,,,,派遣,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",✕,-,0,泉陽興業,TRUE,,,,,,,,,,,,,,,,遊園地設備のメンテナンス,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",△→,１：✕,102,エフアンドエムネット,TRUE,4 ,4 ,4 ,4 ,5 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,,,,江坂,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",△,,83,メディアフュージョン,TRUE,3 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,,,,試用期間3ヶ月,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",✕,-,80,ルナネクサス,TRUE,2 ,3 ,2 ,2 ,4 ,3 ,2 ,3 ,4 ,3 ,1 ,2 ,,,,新大阪,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",✕,-,76,東西化学産業,TRUE,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,,,,年功序列型→崩壊中では？,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",△,,87,金井重要工業,TRUE,3 ,2 ,3 ,4 ,2 ,2 ,3 ,3 ,3 ,2 ,4 ,3 ,,,,,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",✕,-,0,アルトナー,TRUE,,,,,,,,,,,,,,,,派遣,,,,
,"ﾘｸﾙｰﾄ
ｴｰｼﾞｪﾝﾄ",,,0,アイピーシステム,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,○,１：✕,102,ReAct　,TRUE,3 ,3 ,3 ,3 ,3 ,4 ,4 ,3 ,4 ,3 ,4 ,3 ,,,,請負かな？,給料は23万と低いかも,,,
,wantedly,✕,-,78,AWESOME SE,TRUE,3 ,2 ,3 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,,,,SESメインな感じ,給料は23万と低いかも,,,
,wantedly,○,,93,BTM,TRUE,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,,,,SESメインな感じ？,,,,
,wantedly,✕,-,70,Piv,TRUE,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,,,,給与面が全く書かれていないのはなんで？,給料は21万と低いかも,,,
,wantedly,○→✕,,84,DiCE JAPAN,TRUE,3 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,ー,,,SESメインな感じ,給料低すぎ,,,
,wantedly,○,１：✕.,100,フツパー,TRUE,3 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,4 ,3 ,3 ,3 ,,,,＠東三国,試験があるのなら難しいのかもしれない,→中途としての経験を使いながら,,
,wantedly,○→？無反応,,96,パステック,TRUE,3 ,3 ,3 ,3 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,ー,,,@本町,旅立つの前提を紹介に書いているのはどうなんだろう？,全く返事がない、大丈夫？,,
,wantedly,,,0,レスタス,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,○,,0,クロノス,TRUE,,,,,,,,,,,,,,,,@,,,,
,wantedly,○,,94,Flucle,TRUE,3 ,3 ,3 ,3 ,4 ,4 ,2 ,3 ,3 ,3 ,2 ,3 ,,,,@谷町2丁目,ポートフォリオ作っていれば応募できるよ,仲間で働くより個人で作り上げて形にする感じ,,
,wantedly,✕,-,0,サクセスストーリー,TRUE,,,,,,,,,,,,,,,,weデザイン、サイトの模写、jqueryとか、大丈夫？,,,,
,wantedly,,,0,リバティ・フィッシュ,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,✕,,37,セカンド,TRUE,,,,,,2 ,2 ,3 ,3 ,2 ,3 ,,,,,2022/06設立,SES,提案営業らしい,,
,wantedly,○,１：✕,101,シフトプラス,TRUE,4 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,3 ,,,,ふるさと納税,出勤はマスト,考え方がロジカルか？,,
,wantedly,○,１：✕,104,アクトビ,TRUE,4 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,,,,,,,,
,wantedly,,,0,カンブライト,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,80,オータム,TRUE,3 ,3 ,3 ,3 ,1 ,2 ,2 ,3 ,2 ,3 ,2 ,3 ,,,,SES、派遣,,,,
,wantedly,,,0,ネクストライブ,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,スタイル・フリー,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,バウンステクノロジー,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,シアトルコンサルティング,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,○,,80,GSI,TRUE,3 ,3 ,3 ,3 ,1 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,,,,,,,,
,wantedly,✕,,0,アンクシステムズ,TRUE,,,,,,,,,,,,,,,,Railsの案件,,,,
,wantedly,✕,,0,フェンリル,TRUE,,,,,,,,,,,,,,,,人数が多すぎ、実経験にて今回は難しいと判断,,,,
,wantedly,,,0,キャル,TRUE,,,,,,,,,,,,,ー,,ECサイト構築,,,,,
,wantedly,,,0,ジャパンキャスト,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,W8SYSTEMS,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,,,0,DRIVE LINE,TRUE,,,,,,,,,,,,,,,,,,,,
,doda,,,0,JCDソリューション,TRUE,,,,,,,,,,,,,,,,,,,,
,doda,,,0,イトーキ,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,✕,,0,キュクノス,TRUE,,,,,,,,,,,,,ー,,,とても今のキャリアで太刀打ちできなさそう,,,,
,wantedly,○→✕,,0,PPF,TRUE,,,,,,,,,,,,,2.82,56.4%,人材派遣会社,,,,,
,wantedly,✕,,0,GoodLab,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,✕,,0,ライトコード,TRUE,,,,,,,,,,,,,,,,ITのキャリアで選んでいる感じがある,,,,
,wantedly,○,,0,プロシーズ,TRUE,,,,,,,,,,,,,,,,at江坂,,,,
,wantedly,○,,0,アール・エム,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,○,,0,鈴木商店,TRUE,,,,,,,,,,,,,,,ruby,選考試験あり,,,,
,wantedly,○,,0,ラグザス・クリエイト,TRUE,,,,,,,,,,,,,,,,,,,,
,wantedly,○,,0,ヘッドジャパン,TRUE,,,,,,,,,,,,,,,,返事ないかもね,,,,
,wantedly,○,,0,スマレジ,TRUE,,,,,,,,,,,,,,,,,,,,
,JAC,△,１：✕,105,テュフズードジャパン,TRUE,4 ,3 ,3 ,4 ,2 ,3 ,3 ,4 ,4 ,4 ,2 ,4 ,3.33,66.6%,,,,,,
,キャルIT,◯,"１,２：✕",0,インテプロ,TRUE,,,,,,,,,,,,,ー,,java,,,,,
,キャルIT,✕,,0,アイティジョイン,TRUE,,,,,,,,,,,,,ー,,java,,,,,
,デイトラ,○,１：✕,0,フィードフォース,TRUE,,,,,,,,,,,,,,,shopify,,,,,
,デイトラ,✕,,0,コマースメディア,TRUE,,,,,,,,,,,,,,,shopify,場所的に厳しい,,,,
,デイトラ,✕,,0,5-bit,TRUE,,,,,,,,,,,,,ー,,shopify,,,,,
,デイトラ,◯→返信なし,１：,0,飛躍,TRUE,,,,,,,,,,,,,ー,,shopify,,,,,
,デイトラ,○,１→✕,0,フルバランス,TRUE,,,,,,,,,,,,,ー,,shopify,東京出社、年収400万、wantedlyから応募OK,,,,
,デイトラ,,,0,フロアスタンダード,TRUE,,,,,,,,,,,,,2.96,59.2%,shopify,,,,,
,デイトラ,○,３→✕,0,ハックルベリー,TRUE,,,,,,,,,,,,,ー,,shopify,,,,,
,デイトラ,,,0,ミウラタクヤ商店,TRUE,,,,,,,,,,,,,ー,,shopify,一緒には働きたくはないかな？個人事業ぽいし,,,,
,デイトラ,○,１→✕,0,StoreHero,TRUE,,,,,,,,,,,,,ー,,shopify,,,,,
,キャルIT,✕,,0,arise,TRUE,,,,,,,,,,,,,,,java,人材派遣会社,,,,
,キャルIT,◯→✕,３→✕,0,ギグワークス,TRUE,,,,,,,,,,,,,2.73,54.6%,,人材派遣会社,,,,
,直HP,◯,３→✕,0,GSC,TRUE,,,,,,,,,,,,,ー,,クラウドエンジニア,西中島南方,,,,
,ハロワ,◯,３→✕,0,関西デジタルソフト,TRUE,,,,,,,,,,,,,2.98,59.6%,鉄道系のニッチ産業,本町・堂島あたり,,,,
,ハロワ,✕,,0,ワンポリッシュ,TRUE,,,,,,,,,,,,,ー,,許可番号もなく派遣であるので,人材派遣会社,,,,
,ハロワ,◯,"内定
→取り消し：時期交渉後",0,あすか,TRUE,,,,,,,,,,,,,2.84,56.8%,外国人関係が書いてあるので、気にはなる。男性比率が9.9割,,,,,
,ハロワ,△→◯,１：✕,0,ネックスジャパン,TRUE,,,,,,,,,,,,,3.19,63.8%,ECサイト機能追加で調べた,人材派遣会社,,,,
,ハロワ,◯,３→✕,0,Ciel Zero,TRUE,,,,,,,,,,,,,2.88,57.6%,エフ・コードの子会社。2025/1月に名前変更？（株式会社フエ＠池田から事業買収？）,,,,,
,キャルIT,◯,１：✕,0,キャル（ECサイト）,TRUE,,,,,,,,,,,,,3.02,60.4%,,,,,,
,Wantedly,◯→✕,,0,MASIONMARC,TRUE,,,,,,,,,,,,,ー,,給与含め低すぎ,,,,,
,Wantedly,◯,１：✕,0,フルバランス,TRUE,,,,,,,,,,,,,ー,,東京周辺案件のため、お断りされる,,,,,
,Wantedly,◯,１：✕,0,Relic,TRUE,,,,,,,,,,,,,3.35,67.0%,,,,,,
,Wantedly,◯,１：✕,0,Yogibo,TRUE,,,,,,,,,,,,,2.84,56.8%,,,,,,
,Wantedly,◯,１：✕,0,ロスゼロ,TRUE,,,,,,,,,,,,,ー,,,,,,,
,直HP,◯→返信なし,１：,0,TAM,TRUE,,,,,,,,,,,,,3.85,77.0%,ECサイト構築,,,,,
,直HP,◯,１：✕,0,BABYL JOB,TRUE,,,,,,,,,,,,,ー,,実務経験3年以上のためお断り,西中島南方にあり,,,,
,ハロワ,✕,,0,アルネオソフトウェア,TRUE,,,,,,,,,,,,,ー,,,,,,,
,indeed,◯,,0,アイズ,TRUE,,,,,,,,,,,,,ー,,派遣,"C, Linux開発経験者求めている",,,,
,indeed,◯,１：,0,SuPita,TRUE,,,,,,,,,,,,,ー,,勤務地は大阪？技術派遣な気はするが,,,,,
,indeed,◯→△,選考辞退,0,G-STYLE,TRUE,,,,,,,,,,,,,ー,,派遣,,,,,
,indeed,◯→△,選考辞退,0,合同会社Flugel,TRUE,,,,,,,,,,,,,,,,,,,,
,indeed,◯→△,１：✕,0,三井E&Sシステム技研,TRUE,,,,,,,,,,,,,ー,,派遣先の確保ができない場合は採用しない,,,,,
,indeed,◯,１：✕,0,アソウ・アルファ,TRUE,,,,,,,,,,,,,2.88,57.6%,派遣,,,,,
,indeed,◯,１：✕,0,"Step　Addiction
(ステップアディション)",TRUE,,,,,,,,,,,,,ー,,,,,,,
,indeed,,"１：
未応答",0,NEXT TECHNOLOGY,TRUE,,,,,,,,,,,,,3.16,63.2%,,,,,,
,indeed,◯,１：✕,0,CLINKS ,TRUE,,,,,,,,,,,,,2.94,58.8%,,,,,,
,indeed,◯,１：✕,0,VISIONARY JAPAN,TRUE,,,,,,,,,,,,,3.12,62.4%,,,,,,
,indeed,◯,"１：
未応答",0,tech MASTER,TRUE,,,,,,,,,,,,,ー,,,,,,,
,indeed,◯→△,１：,0,GrowthLume,TRUE,,,,,,,,,,,,,ー,,,,,,,
,ハロワ,◯→✕,"３：仮内定
→辞退",0,サーバントップ,TRUE,,,,,,,,,,,,,2.98,59.6%,派遣,人事の緊張。やりとりが適当。社員責任とする突き放す感覚が高く印象悪い,,,,
,ハロワ,◯,"仮内定
→入社
→倒産",83,エンジニアズ,TRUE,4 ,0 ,4 ,2 ,2 ,5 ,2 ,2 ,5 ,2 ,2 ,2 ,ー,,,web請負を進めるに、営業能力や実績作りが結局作れず倒産。,,,,
,Wantedly,◯→✕,内定,0,日本ベンチャーシステム,TRUE,,,,,,,,,,,,,ー,,"試験：web-CAB
面接：最終",給与で生活できるか思い描けず辞退,,,,
,Wantedly,◯→✕（予定）,１：✕,0,のべソリューション,TRUE,,,,,,,,,,,,,ー,,給与などすべてが微妙,,,,,
,indeed,◯→✕,仮内定,0,アイム,TRUE,,,,,,,,,,,,,,,,,,,,
,indeed,◯,１：✕,0,step addition,TRUE,,,,,,,,,,,,,ー,,,,,,,
,type,◯,１：✕,0,UNCORD,TRUE,,,,,,,,,,,,,ー,,,,,,,
,type,◯,３：✕,85,アール&ディ,TRUE,2 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,ー,,.Net VBによる基幹システム。AIは数年先の見通し。企画については手を上げることは可能。,,,,,
,type,◯,１：✕,0,グローバルプレナーズ,TRUE,,,,,,,,,,,,,ー,,,,,,,
,type,◯,３：✕,105,コインタックス,TRUE,4 ,4 ,4 ,4 ,2 ,3 ,2 ,3 ,4 ,3 ,3 ,4 ,ー,,AIコンサル希望。年収450万で言ってしまった。もう少し上げてもよかったと思うのだが、どうだったのか・・・,,,,,
,type,◯,１：,0,ブリッジ,TRUE,,,,,,,,,,,,,,,返信なし。失礼な会社。,,,,,
,type,◯→✕,,0,イリオスター,TRUE,,,,,,,,,,,,,ー,,何回も通知を送ってくる失礼な会社,,,,,
,type,◯,１：✕,0,アーティサン,TRUE,,,,,,,,,,,,,ー,,,,,,,
,type,◯,３：,0,C3,FALSE,,,,,,,,,,,,,2.9,58.0%,案件があればご紹介。AIコンサルなどDX推進関係でお願いした,,,,,
,type,◯,１：,0,神戸製鉄ポジション,FALSE,,,,,,,,,,,,,3.38,67.6%,,,,,,
,type,◯,,0,ハイブリッド,TRUE,,,,,,,,,,,,,2.97,59.4%,,,,,,
,type,◯,３：✕,0,エスプリフォート,TRUE,,,,,,,,,,,,,3.6,72.0%,経験者のプログラミングスキルが最優先。,経験などのかけ合わせは不要として擦り合わせ出来ず、ごめんした,,,,
,doda,◯,１：,0,ケースラボ,TRUE,,,,,,,,,,,,,ー,,,,,,,
,type,◯,３：✕,0,日本ネットワークシステム,TRUE,,,,,,,,,,,,,ー,,テストから順次ITエンジニアとしてキャリアを積んでいく。AIのキャリアは度外視,,,,,
,type,◯,１：✕,0,ルトラ,TRUE,,,,,,,,,,,,,,,,,,,,
,type,◯→✕,１：,0,ランスタッド,TRUE,,,,,,,,,,,,,3.15,63.0%,人材紹介,,,,,
,type,◯,？,0,ラッドステイト,FALSE,,,,,,,,,,,,,3.05,61.0%,Sier、ソフト、システム運用業界,,,,,
,type,◯,３：,0,ヒューマンキュレーション,TRUE,,,,,,,,,,,,,ー,,,,,,,
,type,◯,１：✕,0,エスユーエス,TRUE,,,,,,,,,,,,,3.22,64.4%,Sier,,,,,
,type,◯,３：,0,"TWINKLE
※案件あれば契約雇用",FALSE,,,,,,,,,,,,,3.01,60.2%,Sier、ソフト、システム運用業界,,,,,
,type,◯,３：,0,ラスク,TRUE,,,,,,,,,,,,,3.14,62.8%,Sier、ソフト、システム運用業界。北海道。AIを含む社内システムの構築は北海道。,,,,,
,type,◯,３：,0,"HNS
※案件あれば契約雇用",FALSE,,,,,,,,,,,,,ー,,Sier、ソフト、システム運用業界,,,,,
,type,◯,３：,0,ローライト,TRUE,,,,,,,,,,,,,ー,,よくわからん,,,,,
,type,◯,１：,0,BSC,TRUE,,,,,,,,,,,,,,,,,,,,
,indeed,◯,１：✕,0,SKY,TRUE,,,,,,,,,,,,,,,,,,,,
,indeed,◯,３：,0,西日本スターワークス,TRUE,,,,,,,,,,,,,3.14,62.8%,機械・電気・電子・情報・化学分野における開発・設計アウトソーシング事業,,,,,
,indeed,◯,１：,0,ビーネックステクノロジーズ,FALSE,,,,,,,,,,,,,2.67,53.4%,人材紹介,,,,,
,indeed,◯,１：,0,テンフィールズファクトリー,FALSE,,,,,,,,,,,,,2.95,59.0%,AIエンジニア。京都（相楽郡 精華町 光台）。未上場。キャピタル。,,,,,
,直HP,◯,１：,0,CLINKS,TRUE,,,,,,,,,,,,,2.94,58.8%,,,,,,
,indeed,◯,１：,0,オムロンデジタル,TRUE,,,,,,,,,,,,,3.86,77.2%,,,,,,
,indeed,◯,１：,0,MENOU,TRUE,,,,,,,,,,,,,,,,,,,,
,Green,◯,１：,0,日本ハムシステムソリューションズ,TRUE,,,,,,,,,,,,,,,,,,,,
,Green,◯,１：,0,Elcamy,TRUE,,,,,,,,,,,,,,,,,,,,
,Green,◯,１：,0,エイジェックスデジタルストラテジーズ,TRUE,,,,,,,,,,,,,,,,,,,,
,Green,◯,１：,0,A.I.システム研究所,TRUE,,,,,,,,,,,,,ー,,,,,,,
,Green,◯,１：,0,mui Lab,TRUE,,,,,,,,,,,,,ー,,,,,,,
